UF,qtd,cancelados,taxa_cancel
AP,1396,706,0.505730659025788
SP,13577,4826,0.3554540767474405
MS,1564,472,0.3017902813299232
RS,7651,2246,0.2935563978564893
PA,2666,774,0.2903225806451613
SC,1007,281,0.279046673286991
PR,146416,36377,0.2484496229920227
