UF,qtd,cancelados,taxa_cancel
AP,1396,706,0.505730659025788
SP,13577,4826,0.3554540767474405
MS,1564,472,0.30179028132992325
RS,7651,2246,0.29355639785648935
PA,2666,774,0.2903225806451613
SC,1007,281,0.27904667328699106
PR,146416,36377,0.24844962299202272
