ID do Grupo do Ramo,qtd,cancelados,taxa_cancel
1,58745,21892,0.37266150310664736
5,7756,1804,0.23259412068076327
13,82511,18852,0.22847862709214528
9,21873,2862,0.13084624879989026
11,4022,432,0.10740924912978618
