Data de Emissão,qtd
2024-01,5487
2024-02,4026
2024-03,2216
2024-04,2407
2024-05,2305
2024-06,1747
2024-07,1225
2024-08,2290
2024-09,2705
2024-10,5134
2024-11,2579
2024-12,3225
2025-01,2743
2025-02,3256
2025-03,2516
2025-04,1874
2025-05,3133
2025-06,1980
2025-07,3168
2025-08,1500
2025-09,3426
2025-10,7696
2025-11,2823
2025-12,1598
